,5655,5656,5657,5658,5659,5660,5661,5662,5663,5664,5665,5757,5758,5759,5760,5761,5762,5763,5764,5765,5767,5859,5860,5861,5862,5863,5864,5865,5866,5867,5868,5869,5961,5962,5963,5964,5965,5966,5967,5968,5969,5970,5971,6063,6064,6065,6066,6067,6068,6069,6070,6071,6072,6073,6165,6166,6167,6168,6169,6170,6171,6172,6173,6174,6175,6267,6268,6269,6270,6271,6272,6273,6274,6275,6276,6277,6369,6370,6371,6372,6373,6374,6375,6376,6377,6378,6379,6471,6472,6473,6474,6475,6476,6477,6478,6479,6480,6481,6573,6574,6575,6576,6577,6578,6579,6580,6581,6582,6583,6675,6676,6677,6678,6679,6680,6681,6682,6683,6684,6685,6777,6778,6779,6780,6781,6782,6783,6784,6785,6786,6787
0,0,1,0,0,0,0,0,1,0,0,0,0,5,4,4,1,1,0,0,0,0,1,6,3,1,2,9,0,1,1,0,0,5,3,4,3,7,1,2,2,5,1,0,0,0,2,0,4,4,4,7,2,2,0,3,0,1,6,3,1,5,3,6,1,0,0,0,5,8,1,3,2,6,1,3,3,0,0,0,3,0,3,3,5,5,3,2,1,1,2,4,1,1,6,0,0,4,2,1,0,1,1,3,2,1,2,0,1,6,10,3,1,4,1,0,2,0,4,2,2,0,0,0,1,3,0,0,2,2,1,2
1,0,1,0,0,1,1,1,0,0,0,0,2,4,3,2,0,1,0,0,1,0,1,7,1,0,2,7,0,0,1,0,0,1,1,7,2,2,2,0,1,3,1,0,1,1,2,0,3,10,2,6,4,1,0,1,2,0,3,0,1,8,7,3,2,1,0,0,5,8,1,0,1,8,3,4,2,0,2,0,3,3,1,1,1,4,7,1,1,1,2,6,0,4,5,1,0,4,3,0,2,4,4,2,0,6,1,0,0,3,5,3,3,0,2,0,3,1,3,0,2,0,0,0,2,5,2,1,3,1,0,0
2,0,2,0,0,0,2,1,0,0,0,0,2,4,2,3,3,0,2,1,0,0,1,1,3,1,2,5,0,0,0,0,0,0,3,13,6,5,3,0,1,6,1,0,0,0,3,0,4,3,2,4,2,5,0,4,0,1,2,0,1,6,2,2,3,0,0,3,6,7,2,0,2,4,2,1,3,0,4,0,0,0,0,1,0,3,1,1,0,1,4,9,1,0,3,1,0,1,1,1,0,1,1,2,0,1,0,0,0,2,3,2,1,1,5,0,0,2,0,1,0,1,1,0,0,2,2,0,1,1,1,0
3,0,3,1,0,0,0,0,0,0,0,1,0,5,1,5,0,1,3,1,1,0,0,3,3,0,4,6,2,2,1,0,0,0,3,5,3,5,2,2,2,9,0,0,0,0,2,0,5,4,3,10,1,2,0,1,0,0,1,0,0,3,2,1,5,0,0,1,2,3,0,2,2,8,3,1,1,0,2,0,4,1,0,4,1,1,5,3,0,1,4,7,1,0,7,0,0,0,1,1,0,1,0,2,4,1,1,0,0,1,2,2,0,3,2,0,1,1,0,1,2,0,0,0,0,1,2,1,2,1,0,2
4,0,2,2,0,0,1,0,0,0,0,0,1,7,2,3,1,1,0,1,0,0,2,3,1,2,3,4,5,2,1,0,0,0,1,5,2,2,4,1,4,4,1,0,0,0,4,1,3,6,2,6,0,5,0,1,2,1,2,2,1,1,3,1,3,0,1,3,1,5,2,1,3,3,0,0,0,0,0,0,1,1,0,1,1,2,4,5,0,3,0,3,0,1,2,1,0,4,0,0,0,0,0,2,3,1,0,0,0,1,5,3,1,0,4,0,2,0,2,0,0,0,0,2,3,0,1,1,1,1,0,0
5,0,0,2,0,0,0,0,0,0,0,0,1,2,3,1,2,1,3,1,0,0,1,1,2,1,1,4,3,2,0,0,0,1,4,6,2,2,0,1,2,6,2,0,3,0,1,0,2,7,0,2,2,0,0,0,1,1,1,3,2,2,2,2,2,0,1,1,2,3,0,1,2,5,1,0,2,1,2,0,2,1,0,0,0,5,3,0,0,1,1,2,1,0,1,0,0,3,1,0,0,1,2,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,3,0,0,1
6,0,0,1,0,0,1,0,1,0,0,0,0,3,3,1,1,0,1,2,1,0,3,4,1,1,0,1,0,0,2,0,0,1,1,3,0,0,0,1,2,1,1,0,0,0,0,0,0,2,1,2,1,0,0,2,1,0,1,1,1,2,3,0,1,0,0,1,1,5,1,2,1,6,1,0,0,0,0,0,1,1,1,0,1,4,2,1,0,1,2,2,0,0,2,0,0,2,2,1,0,2,0,1,1,1,0,0,1,1,1,1,0,1,2,0,0,0,5,0,0,0,1,0,0,1,1,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,1,0,0,3,1,1,0,0,0,1,0,1,1,6,2,0,2,2,0,0,0,0,3,0,1,1,0,5,1,2,0,1,0,0,1,0,0,1,2,0,0,0,0,2,1,1,1,0,0,1,1,0,0,0,2,0,0,0,2,1,2,1,2,1,0,0,2,4,1,1,1,0,0,0,2,1,2,0,0,0,2,1,0,0,0,3,1,3,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0
8,0,0,1,0,0,3,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,1,2,1,0,2,1,1,0,0,0,0,2,4,1,4,1,0,1,2,0,0,0,0,1,0,2,1,2,0,1,1,0,0,0,0,0,1,0,1,3,2,0,0,0,1,0,1,0,0,0,4,0,2,0,0,0,1,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
